CardNum,Date,Site,When,Profile,Dept,Time,Slot
00000902,2020-05-25,Site B,2020-05-25 08:09:00,0,Dept 4,08:09:00,0700 to 0829
00000902,2020-05-26,Site A,2020-05-26 08:36:00,0,Dept 5,08:36:00,0830 to 0929
00000902,2020-05-27,Site A,2020-05-27 08:23:00,0,Dept 5,08:23:00,0700 to 0829
00000902,2020-05-27,Site B,2020-05-27 08:08:00,0,Dept 4,08:08:00,0700 to 0829
00000902,2020-05-28,Site A,2020-05-28 08:27:00,0,Dept 5,08:27:00,0700 to 0829
00000902,2020-05-28,Site B,2020-05-28 08:05:00,0,Dept 4,08:05:00,0700 to 0829
00000902,2020-05-29,Site A,2020-05-29 08:12:00,0,Dept 5,08:12:00,0700 to 0829
00000902,2020-05-29,Site B,2020-05-29 07:47:00,0,Dept 4,07:47:00,0700 to 0829
00000902,2020-05-31,Site B,2020-05-31 07:56:00,0,Dept 4,07:56:00,0700 to 0829
00000904,2020-05-26,Site B,2020-05-26 08:35:00,0,Dept 16,08:35:00,0830 to 0929
00000904,2020-05-27,Site B,2020-05-27 08:43:00,0,Dept 16,08:43:00,0830 to 0929
00000904,2020-05-28,Site B,2020-05-28 08:53:00,0,Dept 16,08:53:00,0830 to 0929
00000904,2020-05-29,Site B,2020-05-29 08:51:00,0,Dept 16,08:51:00,0830 to 0929
00000925,2020-05-26,Site B,2020-05-26 07:54:00,0,Dept 9,07:54:00,0700 to 0829
00000925,2020-05-28,Site B,2020-05-28 08:09:00,0,Dept 9,08:09:00,0700 to 0829
00000925,2020-05-30,Site B,2020-05-30 08:27:00,0,Dept 9,08:27:00,0700 to 0829
00000933,2020-05-26,Site A,2020-05-26 08:40:00,0,Dept 17,08:40:00,0830 to 0929
00000933,2020-05-27,Site A,2020-05-27 09:19:00,0,Dept 17,09:19:00,0830 to 0929
00000933,2020-05-29,Site A,2020-05-29 08:55:00,0,Dept 17,08:55:00,0830 to 0929
00000956,2020-05-26,Site B,2020-05-26 07:44:00,0,Dept 16,07:44:00,0700 to 0829
00000956,2020-05-30,Site B,2020-05-30 07:56:00,0,Dept 16,07:56:00,0700 to 0829
00000976,2020-05-25,Site B,2020-05-25 10:24:00,0,Dept 4,10:24:00,0930 to 1030
00000976,2020-05-26,Site B,2020-05-26 10:06:00,0,Dept 4,10:06:00,0930 to 1030
00000976,2020-05-28,Site B,2020-05-28 10:28:00,0,Dept 4,10:28:00,0930 to 1030
00000976,2020-05-30,Site B,2020-05-30 09:36:00,0,Dept 4,09:36:00,0930 to 1030
00000986,2020-05-26,Site B,2020-05-26 08:19:00,0,Dept 4,08:19:00,0700 to 0829
00000986,2020-05-28,Site B,2020-05-28 08:04:00,0,Dept 4,08:04:00,0700 to 0829
00000986,2020-05-29,Site B,2020-05-29 08:03:00,0,Dept 4,08:03:00,0700 to 0829
00000986,2020-05-30,Site B,2020-05-30 08:15:00,0,Dept 4,08:15:00,0700 to 0829
00001001,2020-05-27,Site B,2020-05-27 08:52:00,0,Dept 4,08:52:00,0830 to 0929
00001001,2020-05-28,Site B,2020-05-28 08:41:00,0,Dept 4,08:41:00,0830 to 0929
00001007,2020-05-25,Site B,2020-05-25 08:53:00,0,Dept 4,08:53:00,0830 to 0929
00001007,2020-05-26,Site B,2020-05-26 08:40:00,0,Dept 4,08:40:00,0830 to 0929
00001007,2020-05-27,Site B,2020-05-27 09:08:00,0,Dept 4,09:08:00,0830 to 0929
00001007,2020-05-31,Site B,2020-05-31 08:55:00,0,Dept 4,08:55:00,0830 to 0929
00001028,2020-05-25,Site B,2020-05-25 08:33:00,0,Dept 4,08:33:00,0830 to 0929
00001028,2020-05-27,Site B,2020-05-27 08:38:00,0,Dept 4,08:38:00,0830 to 0929
00001028,2020-05-29,Site B,2020-05-29 08:32:00,0,Dept 4,08:32:00,0830 to 0929
00001028,2020-05-30,Site B,2020-05-30 08:35:00,0,Dept 4,08:35:00,0830 to 0929
00001075,2020-05-25,Site B,2020-05-25 08:05:00,0,Dept 2,08:05:00,0700 to 0829
00001075,2020-05-26,Site B,2020-05-26 08:23:00,0,Dept 2,08:23:00,0700 to 0829
00001075,2020-05-27,Site A,2020-05-27 08:21:00,0,Dept 2,08:21:00,0700 to 0829
00001075,2020-05-28,Site B,2020-05-28 08:34:00,0,Dept 2,08:34:00,0830 to 0929
00001075,2020-05-29,Site B,2020-05-29 10:18:00,0,Dept 2,10:18:00,0930 to 1030
00001075,2020-05-30,Site B,2020-05-30 08:31:00,0,Dept 2,08:31:00,0830 to 0929
00001235,2020-05-28,Site A,2020-05-28 09:36:00,0,Dept 8,09:36:00,0930 to 1030
00001252,2020-05-25,Site B,2020-05-25 10:05:00,0,Dept 14,10:05:00,0930 to 1030
00001252,2020-05-26,Site B,2020-05-26 10:29:00,0,Dept 14,10:29:00,0930 to 1030
00001252,2020-05-28,Site B,2020-05-28 09:24:00,0,Dept 14,09:24:00,0830 to 0929
00001261,2020-05-26,Site A,2020-05-26 08:14:00,0,Dept 18,08:14:00,0700 to 0829
00001261,2020-05-27,Site A,2020-05-27 08:29:00,0,Dept 18,08:29:00,0700 to 0829
00001261,2020-05-28,Site A,2020-05-28 08:16:00,0,Dept 18,08:16:00,0700 to 0829
00001261,2020-05-29,Site A,2020-05-29 08:17:00,0,Dept 18,08:17:00,0700 to 0829
00001266,2020-05-27,Site A,2020-05-27 08:20:00,0,Dept 2,08:20:00,0700 to 0829
00001266,2020-05-28,Site A,2020-05-28 07:25:00,0,Dept 2,07:25:00,0700 to 0829
00001266,2020-05-29,Site A,2020-05-29 07:58:00,0,Dept 2,07:58:00,0700 to 0829
00001266,2020-05-30,Site A,2020-05-30 08:04:00,0,Dept 2,08:04:00,0700 to 0829
00001277,2020-05-26,Site B,2020-05-26 07:17:00,0,Dept 4,07:17:00,0700 to 0829
00001277,2020-05-27,Site B,2020-05-27 07:18:00,0,Dept 4,07:18:00,0700 to 0829
00001277,2020-05-28,Site B,2020-05-28 07:15:00,0,Dept 4,07:15:00,0700 to 0829
00001277,2020-05-30,Site B,2020-05-30 07:03:00,0,Dept 4,07:03:00,0700 to 0829
00001277,2020-05-31,Site B,2020-05-31 07:16:00,0,Dept 4,07:16:00,0700 to 0829
00001280,2020-05-26,Site B,2020-05-26 09:29:00,0,Dept 4,09:29:00,0830 to 0929
00001280,2020-05-27,Site B,2020-05-27 09:23:00,0,Dept 4,09:23:00,0830 to 0929
00001280,2020-05-29,Site B,2020-05-29 09:26:00,0,Dept 4,09:26:00,0830 to 0929
00001302,2020-05-27,Site B,2020-05-27 08:12:00,0,Dept 4,08:12:00,0700 to 0829
00001302,2020-05-28,Site B,2020-05-28 08:02:00,0,Dept 2,08:02:00,0700 to 0829
00001302,2020-05-31,Site B,2020-05-31 08:06:00,0,Dept 4,08:06:00,0700 to 0829
00001306,2020-05-26,Site B,2020-05-26 10:15:00,0,Dept 4,10:15:00,0930 to 1030
00001306,2020-05-28,Site B,2020-05-28 10:01:00,0,Dept 4,10:01:00,0930 to 1030
